id,Rating,Comment,PercentCanceledTrips
1,38.1,Reactive executive initiative,89.0
2,40.4,Decentralized explicit firmware,90.1
3,63.1,Assimilated full-range service-desk,49.8
4,10.0,Operative multi-tasking archive,28.0
5,92.9,Progressive upward-trending productivity,19.5
6,12.1,Organized upward-trending policy,88.8
7,70.0,Virtual holistic budgetary management,51.2
8,54.8,Multi-channelled content-based superstructure,10.5
9,56.8,Devolved neutral capability,98.5
10,16.9,Synergistic optimal hub,81.7
11,51.9,Multi-lateral homogeneous conglomeration,34.5
12,34.1,Enterprise-wide static open system,8.1
13,39.2,Programmable value-added conglomeration,20.3
14,65.5,Cross-group optimal internet solution,34.5
15,13.8,Polarised systemic leverage,59.7
16,2.6,Optional bi-directional hierarchy,94.7
17,24.9,Mandatory tangible data-warehouse,56.5
18,56.4,Re-engineered transitional benchmark,82.1
19,94.5,Robust solution-oriented superstructure,86.4
20,45.6,Implemented optimizing system engine,30.6
21,98.4,Stand-alone national budgetary management,11.6
22,72.9,Reduced solution-oriented system engine,14.2
23,42.6,Future-proofed reciprocal secured line,12.4
24,47.3,Optimized tangible core,45.1
25,8.8,Multi-layered homogeneous process improvement,58.1
26,23.8,Advanced analyzing portal,17.6
27,67.3,Cross-platform needs-based moderator,15.6
28,54.1,Fundamental national toolset,16.1
29,23.3,Up-sized needs-based emulation,5.0
30,3.6,Intuitive transitional hub,8.6
31,4.0,Ergonomic impactful knowledge user,33.4
32,75.4,Organic disintermediate methodology,7.7
33,31.0,Optional methodical migration,23.5
34,61.7,Reduced attitude-oriented structure,12.1
35,29.1,Customer-focused next generation project,61.4
36,97.8,Robust web-enabled project,49.9
37,23.6,Grass-roots 4th generation adapter,63.7
38,55.7,User-friendly mission-critical software,2.3
39,35.8,Multi-lateral mobile alliance,92.7
40,2.0,Devolved bottom-line matrices,49.1
41,6.8,Programmable real-time product,43.9
42,68.7,Seamless incremental paradigm,50.3
43,54.3,Quality-focused homogeneous algorithm,67.1
44,51.4,Front-line hybrid circuit,87.0
45,89.6,Multi-lateral object-oriented pricing structure,14.7
46,69.8,Right-sized systemic Graphic Interface,47.0
47,65.5,Profit-focused analyzing conglomeration,56.1
48,30.5,Self-enabling eco-centric help-desk,29.5
49,82.6,Mandatory mobile hardware,71.1
50,16.4,Horizontal multimedia process improvement,50.7
51,31.6,Decentralized real-time open system,26.5
52,34.0,Streamlined high-level encryption,62.4
53,1.6,Universal fresh-thinking knowledge base,97.6
54,82.4,Networked object-oriented analyzer,22.7
55,21.9,Multi-tiered zero tolerance strategy,93.0
56,17.5,Universal non-volatile data-warehouse,91.6
57,74.5,Cloned empowering strategy,76.4
58,24.8,Cross-platform asynchronous strategy,72.1
59,29.0,Customizable systemic alliance,85.0
60,75.6,Object-based optimizing firmware,38.8
61,89.2,Profound 4th generation toolset,89.3
62,16.0,Switchable zero defect artificial intelligence,63.5
63,24.9,Streamlined foreground superstructure,46.4
64,35.4,Balanced 5th generation paradigm,84.0
65,35.6,Switchable high-level leverage,10.4
66,33.8,Seamless composite contingency,2.5
67,64.2,User-centric bi-directional complexity,47.9
68,62.3,Exclusive context-sensitive infrastructure,9.5
69,25.2,Expanded composite system engine,47.4
70,72.9,Switchable system-worthy archive,13.8
71,50.4,Vision-oriented mobile workforce,64.8
72,72.1,Expanded multi-tasking function,45.3
73,35.6,Optimized system-worthy local area network,93.8
74,22.7,Synchronised clear-thinking protocol,97.3
75,14.5,Advanced stable monitoring,23.6
76,85.4,Fully-configurable cohesive paradigm,13.5
77,10.7,Vision-oriented national hierarchy,97.4
78,87.4,De-engineered asymmetric moderator,13.9
79,23.0,Open-architected national success,86.6
80,85.0,Persistent well-modulated approach,69.6
81,4.9,Total actuating help-desk,59.6
82,32.6,Exclusive attitude-oriented process improvement,31.4
83,16.0,Self-enabling well-modulated installation,96.4
84,94.3,Decentralized client-server extranet,84.5
85,65.6,Vision-oriented 24 hour encryption,66.0
86,4.2,Pre-emptive 4th generation product,30.9
87,52.0,Managed upward-trending contingency,11.0
88,1.2,Optimized tangible internet solution,97.2
89,4.8,User-friendly exuding open system,82.8
90,53.2,Open-source contextually-based support,40.0
91,41.8,Function-based actuating success,1.6
92,14.0,Customizable bandwidth-monitored portal,27.5
93,3.8,Vision-oriented zero tolerance adapter,84.5
94,6.0,Stand-alone reciprocal process improvement,89.1
95,94.1,Multi-channelled attitude-oriented pricing structure,31.8
96,15.5,Assimilated background architecture,26.5
97,5.8,Multi-layered attitude-oriented forecast,60.8
98,87.8,Synergized cohesive extranet,39.8
99,64.0,Down-sized content-based projection,47.3
100,86.2,Stand-alone multi-tasking capability,32.8
101,98.5,Triple-buffered modular core,53.9
102,90.8,Implemented multimedia knowledge base,42.0
103,98.1,Polarised value-added conglomeration,54.4
104,84.0,Re-contextualized intermediate budgetary management,93.3
105,89.4,Multi-channelled non-volatile encryption,60.9
106,88.8,Ameliorated client-driven analyzer,66.4
107,69.7,Fundamental uniform hub,56.0
108,38.7,User-centric needs-based projection,35.7
109,64.5,Stand-alone incremental contingency,95.6
110,61.7,Open-architected transitional utilisation,77.2
111,25.2,Front-line 24/7 functionalities,43.9
112,43.5,Inverse incremental time-frame,13.7
113,50.9,Total empowering internet solution,66.2
114,65.1,Fundamental impactful product,43.4
115,16.4,Ameliorated needs-based project,46.1
116,8.0,Versatile neutral interface,11.7
117,60.3,Phased tertiary local area network,83.9
118,61.3,Pre-emptive mobile circuit,36.3
119,91.2,Exclusive stable conglomeration,73.1
120,3.8,Persevering upward-trending circuit,51.8
121,28.9,Automated optimizing challenge,63.9
122,48.5,Configurable human-resource database,10.9
123,24.9,Stand-alone zero tolerance groupware,36.8
124,48.8,Universal tangible monitoring,72.2
125,33.2,Focused bandwidth-monitored open architecture,47.4
126,66.6,Persevering dynamic process improvement,60.8
127,98.1,Innovative explicit infrastructure,23.6
128,91.9,Implemented interactive knowledge base,74.8
129,48.9,Integrated background customer loyalty,13.7
130,12.8,Mandatory systematic throughput,13.6
131,93.2,Enterprise-wide didactic Graphic Interface,61.7
132,25.7,Switchable neutral conglomeration,90.1
133,46.9,Seamless intermediate ability,34.2
134,46.1,Grass-roots multi-tasking artificial intelligence,32.6
135,56.4,Multi-lateral regional customer loyalty,34.7
136,6.9,Optional mission-critical synergy,87.9
137,16.1,Grass-roots tangible project,85.1
138,66.6,Organic cohesive knowledge user,76.3
139,88.5,Multi-lateral 6th generation definition,71.0
140,66.1,Quality-focused composite ability,65.7
141,46.2,Down-sized didactic framework,23.8
142,21.6,Face to face bi-directional success,13.9
143,25.1,Optimized interactive implementation,24.2
144,62.0,Pre-emptive directional challenge,73.6
145,98.5,Cloned actuating customer loyalty,61.1
146,78.1,Object-based zero administration encoding,96.1
147,97.4,Automated homogeneous throughput,35.9
148,66.2,Sharable maximized model,47.2
149,97.9,Future-proofed human-resource local area network,93.8
150,45.2,Secured disintermediate orchestration,80.6
151,95.0,Face to face static task-force,39.0
152,87.6,Streamlined mobile pricing structure,87.3
153,56.5,Open-source 6th generation attitude,32.8
154,69.3,Centralized systematic access,11.5
155,73.8,Function-based fresh-thinking budgetary management,7.7
156,81.2,Re-engineered asymmetric artificial intelligence,43.9
157,41.3,Team-oriented real-time matrix,95.4
158,58.6,Down-sized bandwidth-monitored parallelism,42.7
159,7.3,Public-key actuating complexity,67.0
160,78.8,Networked executive firmware,26.3
